epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1105.55,0.83374,1.0861,1.30255,0.7078,0.53927,0.63366,0.44894,0.98681,1.28384,1.34102,0.0017294,0.0017294,0.0017294
43,1131.91,0.8261,1.1013,1.29604,0.67972,0.54625,0.63657,0.45395,0.98275,1.27826,1.3632,0.0017228,0.0017228,0.0017228
44,1158.22,0.82322,1.08663,1.29713,0.68178,0.5833,0.68,0.48972,0.96775,1.14913,1.32511,0.0017162,0.0017162,0.0017162
45,1184.52,0.80157,1.05666,1.2692,0.73014,0.54974,0.65719,0.48186,0.93926,1.18022,1.30808,0.0017096,0.0017096,0.0017096
46,1210.82,0.82208,1.07536,1.29731,0.58115,0.61955,0.60784,0.42841,0.94208,1.23859,1.31706,0.001703,0.001703,0.001703
47,1237.12,0.8161,1.07277,1.29178,0.65273,0.60384,0.68307,0.49256,0.92652,1.11919,1.28105,0.0016964,0.0016964,0.0016964
48,1263.4,0.81408,1.08087,1.31258,0.69803,0.57688,0.66323,0.47577,0.93948,1.15615,1.30568,0.0016898,0.0016898,0.0016898
49,1289.7,0.78305,1.04176,1.26585,0.71242,0.55148,0.65205,0.46318,0.95868,1.21908,1.3186,0.0016832,0.0016832,0.0016832
50,1316.04,0.81479,1.06199,1.28433,0.64131,0.63966,0.67152,0.4858,0.91652,1.19208,1.28214,0.0016766,0.0016766,0.0016766
51,1342.35,0.80155,1.04695,1.28369,0.70406,0.5986,0.6819,0.50495,0.8751,1.09757,1.25481,0.00167,0.00167,0.00167
52,1368.75,0.80133,1.05797,1.28298,0.68866,0.55589,0.65003,0.46373,0.95548,1.19929,1.32196,0.0016634,0.0016634,0.0016634
53,1395.16,0.78862,1.05238,1.27939,0.65644,0.59686,0.67178,0.4703,0.9555,1.22053,1.30654,0.0016568,0.0016568,0.0016568
